"filename", "language", "Dart", "comment", "blank", "total"
"g:\SwiftProjects\multivendor_store\lib\features\product_edit\presentation\views\widgets\sub_category_drop_down.dart", "Dart", 4, 11, 4, 19
"g:\SwiftProjects\multivendor_store\lib\features\registration\presentation\views\registration.dart", "Dart", 13, 48, 7, 68
"g:\SwiftProjects\multivendor_store\lib\features\registration\presentation\views\widgets\custom_drop_down.dart", "Dart", 67, 0, 5, 72
"g:\SwiftProjects\multivendor_store\lib\features\registration\presentation\views\widgets\image_container.dart", "Dart", 57, 0, 5, 62
"g:\SwiftProjects\multivendor_store\lib\features\registration\presentation\views\widgets\registration_body_view.dart", "Dart", 11, 0, 4, 15
"g:\SwiftProjects\multivendor_store\lib\features\registration\presentation\views\widgets\registration_form_view.dart", "Dart", 377, 7, 15, 399
"g:\SwiftProjects\multivendor_store\lib\features\splash-screen\presentation\views\check_if_user_is_connected_to_internet.dart", "Dart", 23, 0, 4, 27
"g:\SwiftProjects\multivendor_store\lib\features\splash-screen\presentation\views\splash_screen_view.dart", "Dart", 191, 2, 20, 213
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\data\models\product_model.dart", "Dart", 76, 0, 3, 79
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\presentation\views\store_profile_view.dart", "Dart", 71, 4, 6, 81
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\presentation\views\widgets\store_categories.dart", "Dart", 61, 9, 6, 76
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\presentation\views\widgets\store_more_info.dart", "Dart", 168, 3, 8, 179
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\presentation\views\widgets\store_products_list.dart", "Dart", 190, 5, 9, 204
"g:\SwiftProjects\multivendor_store\lib\features\store-profile\presentation\views\widgets\store_profile_information.dart", "Dart", 108, 0, 4, 112
"g:\SwiftProjects\multivendor_store\lib\features\user-profile\data\models\user_model.dart", "Dart", 63, 0, 4, 67
"g:\SwiftProjects\multivendor_store\lib\features\user-profile\presentation\views\user_profile_view.dart", "Dart", 333, 11, 15, 359
"g:\SwiftProjects\multivendor_store\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"g:\SwiftProjects\multivendor_store\lib\localization\app_localization.dart", "Dart", 43, 0, 15, 58
"g:\SwiftProjects\multivendor_store\lib\main.dart", "Dart", 177, 0, 10, 187
"g:\SwiftProjects\multivendor_store\lib\manager\authentication-bloc\authentication_bloc_bloc.dart", "Dart", 120, 14, 13, 147
"g:\SwiftProjects\multivendor_store\lib\manager\authentication-bloc\authentication_bloc_event.dart", "Dart", 31, 0, 11, 42
"g:\SwiftProjects\multivendor_store\lib\manager\authentication-bloc\authentication_bloc_state.dart", "Dart", 27, 0, 14, 41
"g:\SwiftProjects\multivendor_store\lib\manager\brand-cubit\brand_cubit.dart", "Dart", 9, 0, 4, 13
"g:\SwiftProjects\multivendor_store\lib\manager\category-dropdown-bloc\category_drop_down_cubit.dart", "Dart", 8, 0, 3, 11
"g:\SwiftProjects\multivendor_store\lib\manager\category-dropdown-bloc\category_drop_down_state.dart", "Dart", 0, 4, 3, 7
"g:\SwiftProjects\multivendor_store\lib\manager\connection-bloc\connection_bloc.dart", "Dart", 25, 0, 4, 29
"g:\SwiftProjects\multivendor_store\lib\manager\connection-bloc\connection_event.dart", "Dart", 4, 0, 3, 7
"g:\SwiftProjects\multivendor_store\lib\manager\connection-bloc\connection_state.dart", "Dart", 20, 0, 9, 29
"g:\SwiftProjects\multivendor_store\lib\manager\get-all-products\get_all_categories_from_firebase.dart", "Dart", 33, 7, 7, 47
"g:\SwiftProjects\multivendor_store\lib\manager\get-all-products\get_all_products_bloc.dart", "Dart", 35, 0, 3, 38
